"rt","key_press","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","subject","stimulus","responses"
"1767218","32","text","0","0","1767221","0-0","s08","",""
"6081","70","single-stim","0","1","1774307","0-0","s08","img/Slide28.png",""
"1637","70","single-stim","1","2","1776346","0-0","s08","img/Slide02.png",""
"1534","74","single-stim","2","3","1778282","0-0","s08","img/Slide25.png",""
"1663","74","single-stim","3","4","1780346","0-0","s08","img/Slide25.png",""
"2446","74","single-stim","4","5","1783194","0-0","s08","img/Slide23.png",""
"1310","74","single-stim","5","6","1784906","0-0","s08","img/Slide18.png",""
"1336","74","single-stim","6","7","1786642","0-0","s08","img/Slide23.png",""
"928","70","single-stim","7","8","1787970","0-0","s08","img/Slide28.png",""
"1710","70","single-stim","8","9","1790082","0-0","s08","img/Slide14.png",""
"1237","70","single-stim","9","10","1791721","0-0","s08","img/Slide30.png",""
"1678","70","single-stim","10","11","1793801","0-0","s08","img/Slide27.png",""
"2063","70","single-stim","11","12","1796266","0-0","s08","img/Slide27.png",""
"1518","70","single-stim","12","13","1798185","0-0","s08","img/Slide14.png",""
"1350","70","single-stim","13","14","1799937","0-0","s08","img/Slide05.png",""
"1270","70","single-stim","14","15","1801609","0-0","s08","img/Slide27.png",""
"4246","70","single-stim","15","16","1806257","0-0","s08","img/Slide07.png",""
"1166","70","single-stim","16","17","1807825","0-0","s08","img/Slide03.png",""
"854","70","single-stim","17","18","1809081","0-0","s08","img/Slide27.png",""
"1070","70","single-stim","18","19","1810553","0-0","s08","img/Slide08.png",""
"1086","70","single-stim","19","20","1812041","0-0","s08","img/Slide27.png",""
"7366","74","single-stim","20","21","1819809","0-0","s08","img/Slide09.png",""
"1230","74","single-stim","21","22","1821441","0-0","s08","img/Slide09.png",""
"1902","70","single-stim","22","23","1823744","0-0","s08","img/Slide05.png",""
"1182","70","single-stim","23","24","1825329","0-0","s08","img/Slide04.png",""
"982","74","single-stim","24","25","1826712","0-0","s08","img/Slide24.png",""
"3190","74","single-stim","25","26","1830304","0-0","s08","img/Slide15.png",""
"1662","74","single-stim","26","27","1832368","0-0","s08","img/Slide07.png",""
"1830","70","single-stim","27","28","1834600","0-0","s08","img/Slide30.png",""
"2327","74","single-stim","28","29","1837328","0-0","s08","img/Slide20.png",""
"1390","74","single-stim","29","30","1839120","0-0","s08","img/Slide12.png",""
"4678","74","single-stim","30","31","1844200","0-0","s08","img/Slide13.png",""
"1310","74","single-stim","31","32","1845912","0-0","s08","img/Slide20.png",""
"1911","74","single-stim","32","33","1848224","0-0","s08","img/Slide12.png",""
"1719","74","single-stim","33","34","1850344","0-0","s08","img/Slide10.png",""
"966","74","single-stim","34","35","1851712","0-0","s08","img/Slide13.png",""
"926","74","single-stim","35","36","1853040","0-0","s08","img/Slide07.png",""
"990","74","single-stim","36","37","1854432","0-0","s08","img/Slide08.png",""
"1030","74","single-stim","37","38","1855864","0-0","s08","img/Slide22.png",""
"1191","70","single-stim","38","39","1857455","0-0","s08","img/Slide04.png",""
"1454","74","single-stim","39","40","1859311","0-0","s08","img/Slide10.png",""
"1030","70","single-stim","40","41","1860743","0-0","s08","img/Slide29.png",""
"1870","74","single-stim","41","42","1863015","0-0","s08","img/Slide24.png",""
"2183","74","single-stim","42","43","1865599","0-0","s08","img/Slide10.png",""
"1054","74","single-stim","43","44","1867055","0-0","s08","img/Slide08.png",""
"1503","70","single-stim","44","45","1868959","0-0","s08","img/Slide30.png",""
