"rt","key_press","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","subject","stimulus","responses"
"1256961","70","text","0","0","1256965","0-0","s05","",""
"2816","70","single-stim","0","1","1260787","0-0","s05","img/Slide03.png",""
"2293","70","single-stim","1","2","1263483","0-0","s05","img/Slide03.png",""
"2037","74","single-stim","2","3","1265922","0-0","s05","img/Slide20.png",""
"2359","70","single-stim","3","4","1268682","0-0","s05","img/Slide03.png",""
"3870","74","single-stim","4","5","1272954","0-0","s05","img/Slide17.png",""
"1622","74","single-stim","5","6","1274978","0-0","s05","img/Slide25.png",""
"3222","74","single-stim","6","7","1278602","0-0","s05","img/Slide20.png",""
"1862","74","single-stim","7","8","1280866","0-0","s05","img/Slide24.png",""
"2686","70","single-stim","8","9","1283954","0-0","s05","img/Slide12.png",""
"2805","70","single-stim","9","10","1287162","0-0","s05","img/Slide05.png",""
"1814","70","single-stim","10","11","1289378","0-0","s05","img/Slide07.png",""
"1494","74","single-stim","11","12","1291273","0-0","s05","img/Slide20.png",""
"1062","70","single-stim","12","13","1292737","0-0","s05","img/Slide27.png",""
"1382","70","single-stim","13","14","1294521","0-0","s05","img/Slide14.png",""
"2302","70","single-stim","14","15","1297225","0-0","s05","img/Slide15.png",""
"1894","70","single-stim","15","16","1299521","0-0","s05","img/Slide12.png",""
"1470","74","single-stim","16","17","1301393","0-0","s05","img/Slide25.png",""
"1030","70","single-stim","17","18","1302825","0-0","s05","img/Slide03.png",""
"1158","70","single-stim","18","19","1304385","0-0","s05","img/Slide27.png",""
"2654","74","single-stim","19","20","1307441","0-0","s05","img/Slide22.png",""
"1142","70","single-stim","20","21","1308985","0-0","s05","img/Slide04.png",""
"1878","70","single-stim","21","22","1311265","0-0","s05","img/Slide05.png",""
"1510","70","single-stim","22","23","1313177","0-0","s05","img/Slide30.png",""
"1167","70","single-stim","23","24","1314745","0-0","s05","img/Slide15.png",""
"1430","74","single-stim","24","25","1316577","0-0","s05","img/Slide09.png",""
"1383","70","single-stim","25","26","1318361","0-0","s05","img/Slide08.png",""
"1254","74","single-stim","26","27","1320016","0-0","s05","img/Slide23.png",""
"1230","74","single-stim","27","28","1321649","0-0","s05","img/Slide18.png",""
"1070","70","single-stim","28","29","1323120","0-0","s05","img/Slide28.png",""
