"rt","key_press","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","subject","stimulus","responses"
"2461278","70","text","0","0","2461281","0-0","s20","",""
"2432","70","single-stim","0","1","2464719","0-0","s20","img/Slide28.png",""
"2021","74","single-stim","1","2","2467143","0-0","s20","img/Slide20.png",""
"1582","74","single-stim","2","3","2469126","0-0","s20","img/Slide24.png",""
"1838","74","single-stim","3","4","2471366","0-0","s20","img/Slide07.png",""
"1759","74","single-stim","4","5","2473526","0-0","s20","img/Slide20.png",""
"1918","74","single-stim","5","6","2475846","0-0","s20","img/Slide19.png",""
"1110","70","single-stim","6","7","2477358","0-0","s20","img/Slide02.png",""
"1031","74","single-stim","7","8","2478790","0-0","s20","img/Slide23.png",""
"935","70","single-stim","8","9","2480126","0-0","s20","img/Slide04.png",""
"1558","70","single-stim","9","10","2482086","0-0","s20","img/Slide09.png",""
"1046","74","single-stim","10","11","2483534","0-0","s20","img/Slide25.png",""
"1486","70","single-stim","11","12","2485422","0-0","s20","img/Slide12.png",""
"1439","70","single-stim","12","13","2487262","0-0","s20","img/Slide10.png",""
"1071","74","single-stim","13","14","2488734","0-0","s20","img/Slide20.png",""
"1357","70","single-stim","14","15","2490494","0-0","s20","img/Slide12.png",""
"1262","70","single-stim","15","16","2492158","0-0","s20","img/Slide03.png",""
"1303","74","single-stim","16","17","2493862","0-0","s20","img/Slide12.png",""
"1382","74","single-stim","17","18","2495646","0-0","s20","img/Slide20.png",""
"2166","74","single-stim","18","19","2498214","0-0","s20","img/Slide07.png",""
"1910","74","single-stim","19","20","2500525","0-0","s20","img/Slide07.png",""
"2942","74","single-stim","20","21","2503869","0-0","s20","img/Slide15.png",""
"1382","74","single-stim","21","22","2505653","0-0","s20","img/Slide23.png",""
"1983","70","single-stim","22","23","2508037","0-0","s20","img/Slide29.png",""
"3206","70","single-stim","23","24","2511645","0-0","s20","img/Slide28.png",""
"1646","70","single-stim","24","25","2513693","0-0","s20","img/Slide27.png",""
"1782","70","single-stim","25","26","2515877","0-0","s20","img/Slide27.png",""
"1166","74","single-stim","26","27","2517445","0-0","s20","img/Slide23.png",""
"1294","74","single-stim","27","28","2519141","0-0","s20","img/Slide12.png",""
